,Time[s],x1,x2,x3,y
18605,126.33,-8.026,-0.125,44,-7.251
18835,40.73,5.301,0.156,35,6.008
42563,102.36,1.858,-0.628,44,-8.296
96369,144.38,2.257,2.486,45,12.163
128838,61.23,-8.185,-0.157,45,-6.458
66386,123.23,5.917,1.57,45,11.129
109640,57.75,-12.198,-0.157,38,-5.523
134336,39.8,4.058,0.157,44,6.233
159223,19.13,10.089,0.155,35,6.892
20024,79.03,-4.058,-0.157,28,-9.066
36734,41.08,5.723,0.153,45,5.921
60743,135.02,4.925,2.028,45,12.966
140677,29.02,-1.972,0.157,46,7.601
143141,22.64,5.78,0.157,38,8.092
160065,81.62,-5.335,-0.157,44,-6.444
165529,60.04,-9.245,-0.157,46,-5.68
77601,36.61,1.174,0.157,35,7.847
59893,25.06,2.098,0.158,45,7.914
135015,4.45,11.4,0.158,44,6.399
75360,217.63,-12.095,-0.032,32,-7.353
133243,32.32,-1.71,0.156,34,8.293
70291,140.75,-4.4,-0.177,45,-6.213
29255,113.45,-9.462,-0.251,38,-8.073
51076,64.16,-4.617,-0.156,37,-7.523
9308,29.23,-2.086,0.157,45,7.596
99027,252.6,-1.117,-0.046,32,-8.166
84444,20.41,8.288,0.157,44,7.077
33253,135,4.959,2.039,44,13.183
26067,93.55,4.4,0.357,45,5.935
149056,90.26,-0.365,0.628,44,8.548
86163,38.4,2.873,0.157,36,7.16
71870,16.34,12.574,0.157,44,5.583
109350,119.37,-4.948,-0.315,45,-6.911
99234,31.79,-2.69,0.157,44,7.414
68625,29.62,-0.524,0.158,28,9.315
20922,126.39,-10.237,-0.278,31,-8.737
76667,43.67,-8.288,-0.157,44,-6.158
132802,139.68,-1.55,-2.044,44,-11.646
140243,290.33,-9.656,-0.031,32,-5.967
84126,62.93,-6.692,-0.155,30,-7.695
146220,66.13,-0.844,-0.156,44,-6.576
69635,74.12,0.091,-0.156,28,-9.668
26280,78.43,-3.409,-0.157,28,-9.237
162264,27.02,0.148,0.157,44,8.209
107448,23.06,4.583,0.158,45,7.545
114788,30.9,-1.379,0.157,35,8.774
130257,73.25,0.661,-0.157,31,-9.389
151936,29.14,-0.992,0.155,35,8.662
54846,39.49,3.659,0.157,38,6.324
3789,21.94,5.392,0.156,35,6.607
162738,103.68,-2.018,-0.63,45,-9.033
198457,35.4,0.912,0.157,28,8.905
168808,22.24,6.008,0.157,45,7.696
87841,111.25,6.316,1.098,28,14.038
93371,43.27,-8.516,-0.157,38,-7.003
52199,44.43,-10.043,-0.158,44,-6.743
166485,37.38,1.539,0.158,36,7.231
73982,43.38,-9.097,-0.158,36,-7.412
103311,7.86,8.071,0.015,31,7.011
25116,59.89,-11.183,-0.158,33,-7.38
5353,72.4,2.519,-0.158,43,-7.622
168393,146.72,-10.021,-0.628,45,-7.418
176569,149.72,-5.141,-0.597,43,-7.597
107192,39.18,3.215,0.158,46,6.333
55277,93.57,4.378,0.291,45,5.984
17132,65.15,-1.744,-0.156,44,-6.113
185130,29.31,-3.032,0.156,43,6.704
58422,101.35,-0.194,-0.628,43,-8.232
19328,26.51,-0.365,0.157,45,7.189
179058,109.11,9.131,1.099,45,8.369
185401,3.68,9.485,0.158,44,5.585
23901,87.67,7.091,0.962,35,10.582
158276,35.04,-0.433,0.157,44,7.906
149887,74.12,1.619,-0.158,45,-8.125
90112,65.6,-2.588,-0.158,35,-7.579
171244,59.05,-10.807,-0.157,46,-5.821
151550,4.52,11.092,0.156,35,6.015
42289,69.37,0.479,-0.156,33,-8.606
82476,3.88,10.18,0.158,36,5.993
85995,18.46,12.187,0.158,37,7.988
65912,22.83,4.423,0.157,45,7.026
39552,58.39,-12.016,-0.157,45,-6.128
128874,101.57,0.445,-0.627,45,-8.392
187836,152.73,10.693,2.984,45,12.794
126798,67.43,0,-0.158,45,-7.3
23514,20.01,9.348,0.157,35,7.491
120359,149.32,-4.993,-1.639,45,-11.672
9169,66.64,-1.003,-0.156,35,-7.39
170318,195.44,8.561,0.015,32,7.656
78192,95.01,9.644,0.408,35,7.684
115840,63.83,-6.019,-0.157,27,-8.416
195190,73.87,1.414,-0.157,46,-8.434
189057,77.7,-1.915,-0.157,34,-8.66
1702,110.51,-1.186,1.1,45,8.907
197030,130.68,-5.426,-0.565,43,-7.817
181288,64.92,-2.747,-0.157,43,-6.782
72152,106.37,10.545,0.652,36,7.886
80464,70.77,1.984,-0.157,44,-7.859
318,17.48,12.677,0.157,35,7.109
102235,29.25,-0.103,0.158,38,9.583
99322,140.22,-8.687,-1.508,29,-14.578
19844,23.39,4.56,0.157,35,8.013
43853,741.82,0.034,-0.015,32,-8.217
58402,26.01,1.049,0.157,36,8.035
143403,24.93,1.664,0.156,44,7.318
119798,63.43,-4.891,-0.157,44,-6.653
66277,575.45,-11.297,-0.017,32,-7.152
55263,60.13,-8.949,-0.157,45,-5.517
177466,73.45,2.656,-0.156,44,-7.349
160664,104.98,-4.788,-0.136,45,-6.366
92443,71.59,1.756,-0.158,35,-8.319
63092,23.83,3.659,0.156,38,7.783
90555,109.95,5.7,1.099,35,13.335
90710,46.32,-12.38,-0.156,43,-6.424
69214,44.67,-10.043,-0.156,35,-6.395
76908,61.24,-8.436,-0.157,35,-6.733
76242,76.85,-0.923,-0.157,36,-8.611
175594,79.92,-4.435,-0.157,35,-8.176
148771,109.93,3.853,1.101,35,11.314
60623,114.09,-12.175,-1.1,45,-6.49
74956,78.98,-2.394,-0.158,44,-7.479
30122,86.12,8.71,1.57,35,14.553
148764,87.76,12.392,0.627,45,7.557
79680,3.34,9.701,0.156,37,6.314
31383,63.83,-4.765,-0.157,36,-7.152
24989,18.9,10.796,0.155,38,7.265
161056,38.47,2.177,0.158,43,6.355
150561,45.08,4.366,0.078,32,7.437
178029,77.86,-2.086,-0.158,35,-8.626
20387,81.16,-4.207,-0.155,44,-6.061
189486,100,-9.895,-0.628,30,-10.559
148162,149.02,-3.34,-2.395,44,-13.115
179087,21.86,6.954,0.158,35,8.034
146743,99.1,-12.073,-0.628,44,-7.231
146776,45.02,-11.662,-0.158,35,-7.478
77336,28.26,-0.353,0.159,44,8.744
59839,80.19,-4.845,-0.158,35,-8.165
31978,130.77,-5.358,-0.336,45,-7.378
55195,284.52,-1.607,0.015,32,8.202
72348,153.66,3.853,1.649,45,10.609
55925,34.05,-1.015,0.159,45,8.101
133502,66.38,-1.448,-0.158,35,-7.486
133221,26.61,0.388,0.156,37,8.051
183230,117.32,-1.265,-1.102,44,-9.756
82459,37.83,2.44,0.158,35,7.527
136554,80.61,-5.814,-0.158,31,-8.489
66637,69.94,1.391,-0.155,31,-8.072
99915,103.79,-3.488,-0.629,35,-9.961
114459,67.32,-0.41,-0.157,44,-7.589
21641,36.66,1.482,0.158,36,8.095
122924,72.21,0.559,-0.156,28,-9.6
8094,30.96,-1.915,0.158,37,8.214
157404,38.73,2.086,0.157,45,5.886
104890,33.44,-0.445,0.158,37,9.057
160704,119.28,-4.936,-0.553,45,-7.205
137723,45.7,-11.708,-0.158,36,-6.557
47509,43.48,-9.964,-0.157,28,-8.111
115971,2.38,7.855,0.16,38,5.919
22318,144.54,2.303,2.165,45,11.651
135140,38.79,1.961,0.157,44,5.684
69161,79.78,-4.549,-0.157,30,-8.489
147692,44.56,-10.465,-0.157,35,-6.972
13036,26.5,0.581,0.156,38,8.13
160593,71.51,2.166,-0.156,37,-7.917
73296,43.28,-7.98,-0.157,44,-6.454
33704,69.21,0.832,-0.157,35,-8.126
187344,122.92,11.468,1.569,43,12.027
161626,73.33,2.44,-0.158,45,-7.579
181556,103.01,1.049,-0.628,45,-8.357
84417,63.46,-4.742,-0.157,45,-6.557
11672,62.1,-6.897,-0.157,37,-6.552
83633,109.07,12.597,1.101,35,11.391
160743,153.14,7.25,2.924,31,17.739
138540,60.41,-9.827,-0.157,34,-6.821
159436,78.62,-3.249,-0.157,30,-8.81
163358,61.5,-7.011,-0.157,45,-5.709
4928,45.59,-11.389,-0.157,45,-6.404
82761,29.75,-1.037,0.156,35,8.866
49218,61.39,-7.843,-0.158,44,-6.361
139299,28.29,-1.585,0.156,44,7.559
122562,40.75,5.176,0.156,44,5.861
142815,46.25,-12.016,-0.157,45,-6.144
112480,3.97,11.799,0.158,32,7.482
90802,68.59,0.011,-0.158,36,-8.437
42029,24.62,2.531,0.157,45,7.76
82211,43.67,-9.109,-0.156,36,-6.981
68502,3.02,8.641,0.157,37,5.734
108660,64.23,-4.264,-0.157,44,-7.267
100469,68.13,-0.103,-0.156,30,-8.155
18553,134.71,4.423,2.041,45,14.561
54439,110.9,2.155,1.101,31,11.757
197852,87.78,6.68,0.704,36,9.405
50125,118.57,-2.702,-1.102,45,-9.74
196757,140.57,-7.342,-0.627,37,-9.871
13703,3.2,9.04,0.156,45,5.867
135860,88.2,9.964,0.628,45,7.705
29981,112.07,4.697,0.496,43,6.879
199345,87.27,6.407,1.573,34,13.212
154158,119.07,-5.073,-1.045,43,-7.758
11516,72.53,2.234,-0.157,37,-7.916
194691,65.04,-2.565,-0.158,45,-6.764
4366,84,9.667,0.628,45,6.833
129902,19.3,10.784,0.156,34,7.854
135775,66.44,-0.73,-0.157,46,-6.849
135831,37.95,1.585,0.156,45,6.523
80314,65.11,-2.645,-0.156,44,-6.962
163648,75.16,2.029,-0.155,44,-7.146
65737,102.17,1.049,-0.629,45,-8.995
108131,34.31,-1.459,0.157,44,7.493
172879,119.32,-4.891,-0.433,45,-6.996
119118,72.61,2.462,-0.157,44,-7.682
124803,30.91,-2.998,0.156,45,7.155
86963,28.82,-1.106,0.158,38,8.345
110468,26.48,0.251,0.157,45,7.765
57577,29.23,-1.402,0.157,44,8.274
175244,62.31,-0.935,0.079,32,9.169
23101,97.65,5.404,1.184,35,9.806
163732,23.04,4.435,0.157,44,7.368
38378,32.98,-2.063,0.158,37,7.678
80460,76.21,0.832,-0.157,45,-7.482
180092,93.63,-5.939,-0.281,36,-7.878
84487,74.3,0.73,-0.156,31,-8.939
128558,63.98,-3.933,-0.157,44,-6.545
14975,78.02,-0.616,-0.158,44,-6.961
38570,39.4,3.865,0.157,37,6.664
123744,78.99,-2.234,-0.158,45,-7.292
112358,62.94,-5.404,-0.157,45,-6.401
26342,25.99,1.756,0.157,27,8.713
153431,64.86,-4.503,-0.157,27,-8.457
10017,72.79,2.018,-0.158,38,-8.1
139718,72.84,2.417,-0.157,44,-7.701
96203,735.85,-0.011,-0.015,32,-8.776
173888,146.64,-8.938,-0.401,45,-7.008
159797,4.41,11.594,0.157,44,6.649
52108,39.04,4.309,0.157,36,7.657
67608,79.7,-3.443,-0.157,35,-7.502
142574,25.37,2.428,0.157,34,8.633
123353,17.32,12.278,0.156,35,6.506
99793,118.4,-1.482,-1.102,45,-9.75
100836,118.13,-0.992,-1.097,44,-10.672
39338,71.74,2.77,-0.157,45,-7.338
33378,17.7,12.095,0.155,45,6.843
140709,59.86,-9.747,-0.157,38,-5.924
168160,129.81,-1.345,-1.568,44,-10.885
10029,45.03,-10.568,-0.157,46,-6.383
120600,65.96,-0.912,-0.156,45,-6.411
167403,25.53,0.524,0.156,44,6.951
13723,28.3,0.365,0.157,30,9.506
129880,643.98,-1.516,-0.015,32,-7.721
166560,59.23,-10.807,-0.157,46,-6.075
20755,130.61,-5.438,-0.752,45,-8.28
191007,149.11,-2.497,-2.164,45,-11.859
103299,27.71,-0.353,0.158,45,8.324
40502,82.1,-5.939,-0.157,45,-6.286
158999,26.86,0.388,0.159,44,8.273
12769,73.58,1.733,-0.157,35,-8.217
75600,70.92,0.866,-0.156,31,-9.055
48667,58.83,-11.822,-0.157,36,-6.531
104656,99.37,-10.773,-0.628,45,-7.499
115321,24.53,1.938,0.156,45,7.056
3648,77.73,-0.889,-0.156,35,-7.601
23750,128.83,-6.327,-1.57,45,-10.186
141825,65.84,-3.329,-0.157,28,-8.657
6393,16.53,12.586,0.156,44,5.831
153469,1.39,6.897,0.158,36,6.439
100732,90.86,-1.744,0.628,45,8.343
199555,83.62,11.195,0.453,30,9.152
94909,31.88,-1.813,0.157,38,8.278
12069,135.19,4.07,1.731,44,10.891
186392,19.71,9.086,0.156,45,6.772
190185,149.86,-4.537,-0.225,45,-6.414
176176,38.97,4.355,0.158,32,7.8
183655,4.29,10.123,0.157,44,5.354
77881,144.66,1.619,1.89,44,9.621
164447,31.24,-1.847,0.158,45,8.298
96959,66.7,-0.137,-0.156,46,-6.59
62990,73.62,2.337,-0.157,46,-7.602
167932,75.13,2.462,-0.157,45,-6.714
107159,31.9,-0.422,0.156,28,9.675
184511,18.17,11.218,0.158,46,6.595
182130,157.91,-5.449,-1.913,44,-13.694
170264,80.51,-3.682,-0.156,45,-6.543
103671,19.55,10.043,0.155,35,7.484
110857,353.81,1.813,0.016,32,8.689
7773,1.99,7.763,0.157,35,6.461
16597,61.86,-7.615,-0.157,35,-6.883
9738,33.03,-1.824,0.157,36,7.903
145111,153.75,4.207,1.414,45,9.736
111420,21.92,5.905,0.155,36,7.103
1997,70.73,3.226,-0.157,46,-6.613
100582,71.03,0.901,-0.157,30,-9.043
3487,38.16,1.858,0.158,45,6.476
47219,39.53,3.591,0.156,45,6.197
59518,90.57,-0.65,0.627,44,9.043
83712,42.98,-7.855,-0.158,45,-6.804
121230,36.01,-0.399,0.157,45,6.962
192074,91.24,-1.186,0.629,44,8.89
12295,18.77,11.275,0.157,35,7.519
60941,2.94,8.071,0.156,45,5.305
184091,116.78,-5.882,-1.101,44,-9.773
118885,61.4,-8.47,-0.158,36,-6.994
60962,47.16,-12.506,-0.156,44,-5.519
167415,94.87,-9.063,-0.224,45,-7.79
75256,35.12,-1.436,0.156,43,6.838
51760,65.57,-2.291,-0.157,45,-7.247
22057,208.41,6.601,0.016,32,7.758
75935,134.33,5.29,2.042,35,12.911
11110,89.46,2.645,0.627,44,8.128
92455,36.91,1.288,0.156,30,7.598
59194,28.68,0.228,0.158,28,9.607
170154,71.9,3.021,-0.157,45,-7.111
180661,44.79,-10.978,-0.158,34,-7.135
90174,72.89,1.22,-0.158,34,-8.887
76671,153.89,9.929,1.016,28,13.672
71552,152.91,7.604,2.983,45,14.503
77471,158.06,-3.887,-1.514,44,-9.916
86691,31.5,-2.086,0.156,36,8.068
54382,23.25,5.962,0.158,30,9.208
65009,86.63,3.032,1.569,38,13.088
55372,149.18,-9.154,-1.995,30,-17.758
101433,65.12,-3.192,-0.156,38,-7.524
51916,4.02,11.89,0.158,33,7.504
117007,141.03,-10.283,-0.048,32,-7.673
173585,89.1,5.119,0.628,43,8.554
169743,23.8,3.853,0.157,36,7.922
13133,130.21,-5.518,-1.565,45,-11.168
167325,26.52,-0.023,0.155,37,7.555
37439,77.31,-0.935,-0.157,35,-8.133
70640,20.76,8.744,0.157,33,8.072
6503,72.61,1.904,-0.157,38,-8.24
27181,65.9,-1.208,-0.157,43,-6.623
122552,25.99,-0.285,0.156,44,6.691
32125,153.16,8.425,2.903,28,19.075
156245,96.14,-1.505,0.046,32,8.381
16631,151.13,7.969,0.228,45,6.674
26492,134.25,7.285,2.041,46,13.72
119711,90.34,-0.228,0.629,43,8.915
15061,62.97,-6.053,-0.157,45,-7.083
100413,64.18,-4.161,-0.158,45,-7.084
95530,61.12,-8.311,-0.157,43,-6.413
178881,30.35,-1.493,0.157,45,8.568
174573,118.2,-5.643,-1.099,28,-14.985
194952,118.89,-4.309,-1.101,44,-8.438
165267,86.6,6.726,1.569,31,16.674
124788,1.82,7.832,0.157,30,6.797
130491,26.77,0.182,0.157,44,7.991
119783,78.4,-2.314,-0.158,35,-8.164
170871,145.04,7.421,0.895,30,10.739
134735,2.16,8.653,0.158,35,7.069
29718,31.72,-3.181,0.156,45,6.949
50203,21.2,7.319,0.157,35,7.355
87971,148.89,-2.337,-2.513,45,-12.356
48396,135.15,4.868,1.835,45,12.011
170314,123.47,2.987,1.57,44,11.04
196954,145.3,6.236,0.223,30,8.124
102992,118.83,-9.439,-1.1,28,-14.065
171976,89.37,3.42,0.628,45,8.384
85113,77.22,0.068,-0.158,45,-7.221
69914,32.18,-2.234,0.157,35,7.792
180410,24.85,2.394,0.158,45,7.919
125811,35.95,0.091,0.156,37,7.522
47325,80.88,-4.663,-0.158,43,-6.939
156226,117.98,-5.632,-1.098,29,-15.671
97774,60.79,-8.55,-0.158,43,-6.12
166018,148.63,-3.853,-2.512,45,-12.805
143743,92.61,-4.172,-1.571,35,-13.959
133927,34.5,-1.083,0.156,46,7.73
123469,103.21,0.935,-0.629,45,-7.922
149281,153.28,6.658,2.597,29,17.913
121625,29.19,-1.06,0.156,30,8.614
31602,101.66,-2.645,-2.023,37,-11.578
161667,74.35,1.892,-0.156,38,-7.756
12853,76.75,0.49,-0.156,37,-7.309
44797,19.71,10.271,0.156,35,7.959
193669,2.96,9.77,0.157,33,6.96
183917,78.03,-1.87,-0.157,35,-8.2
148720,44.44,-9.451,-0.157,45,-6.135
37215,158.01,-4.252,-1.657,45,-11.086
99729,99.22,-8.14,-0.085,36,-7.59
108500,79.79,-4.412,-0.158,35,-8.341
61309,35.1,0.285,0.156,30,8.583
53682,112.03,7.216,0.563,29,9.499
123080,59.14,-11.001,-0.156,38,-6.152
116855,66.6,-0.65,-0.158,45,-6.961
193937,60.88,-9.587,-0.157,34,-7.311
144551,69.46,1.368,-0.156,45,-7.784
126586,119.39,-9.519,-0.079,32,-7.263
16198,69.74,2.269,-0.156,44,-7.07
139018,31.41,-2.85,0.156,45,7.3
141917,18.26,11.788,0.157,45,7.298
162280,63.08,-5.734,-0.157,45,-6.941
163269,69.09,0.399,-0.158,30,-8.466
53359,73.25,2.554,-0.157,45,-7.495
26360,34.71,-1.858,0.156,43,6.777
187778,35.01,-0.559,0.157,36,7.809
140109,119.01,-4.606,-1.092,45,-7.6
137270,45.9,-11.161,-0.156,45,-5.757
86864,89.71,3.602,0.627,36,10.363
87005,78.62,-3.739,-0.158,28,-9.313
127336,369.26,2.075,0.016,32,6.945
59922,88.77,8.721,0.628,35,10.119
108847,60.07,-9.587,-0.157,44,-6.075
120530,101.17,-1.277,-0.628,45,-8.582
169802,66.02,-1.414,-0.158,46,-6.98
111636,24.72,1.835,0.155,45,7.217
11628,82.29,-6.293,-0.113,44,-6.651
21417,651.51,-0.923,-0.015,32,-8.035
31964,109.99,6.794,1.099,28,14.767
141208,29.49,-0.524,0.157,28,9.282
31055,80.37,-3.979,-0.157,44,-7.034
100367,139.24,-7.034,-2.04,45,-13.945
185113,124.91,7.706,0.746,30,10.528
21092,83.72,11.902,0.738,35,8.968
99058,155.62,-10.112,-0.574,45,-7.675
81604,43.68,-8.732,-0.157,45,-6.587
147733,355.09,1.151,0.015,32,7.876
85537,74.86,0.547,-0.158,36,-8.803
26333,149.08,-1.425,-2.242,45,-11
165887,76.75,0.946,-0.156,45,-6.853
56510,154.05,6.031,0.628,37,8.556
63232,64.81,-3.591,-0.157,35,-7.45
91049,209.55,6.897,0.016,32,8.238
159508,123.52,3.363,1.571,46,11.871
60646,80.24,-5.358,-0.157,31,-8.606
18798,27.42,-0.228,0.158,44,8.202
81976,61.21,-7.809,-0.157,44,-6.045
178229,109.65,5.586,1.1,36,10.607
67347,40.84,6.27,0.158,45,6.806
136740,2.05,8.208,0.158,38,6.814
134040,70.57,1.801,-0.156,45,-7.976
159672,36.08,1.072,0.157,32,8.364
19937,132.15,8.721,0.401,45,6.792
24192,154.14,5.369,0.388,36,7.453
197397,71.57,1.482,-0.157,38,-8.593
75523,37.32,0.673,0.155,38,6.469
42115,66.31,-1.539,-0.156,33,-7.499
166734,111.61,5.677,1.099,44,10.327
66750,4.28,11.81,0.158,32,7.055
172846,59.73,-10.226,-0.157,36,-6.21
44025,17.99,11.377,0.156,37,6.52
4420,36.29,-0.456,0.157,43,6.599
125939,102.31,-5.768,-0.377,34,-7.846
24761,242.87,2.85,0.016,32,9.04
49611,71.28,0.787,-0.158,29,-9.224
66155,73.17,1.778,-0.158,45,-8.271
97285,70.37,2.109,-0.158,45,-7.563
71813,37.01,1.3,0.157,37,7.472
179375,67.16,-0.068,-0.155,38,-7.079
104142,31.43,-2.086,0.157,36,8.058
31657,33.57,-2.326,0.158,45,7.098
130814,130.51,-6.544,-0.997,45,-10.11
149309,81.33,-5.05,-0.158,43,-6.625
19478,72.51,2.132,-0.156,38,-8.03
170547,7.7,8.459,0.031,32,6.389
180517,75.83,0.752,-0.158,45,-7.888
132987,39.08,4.184,0.157,35,7.475
91786,20.24,9.565,0.157,35,8.079
110637,111.72,6.817,1.099,44,10.277
33784,1.51,6.578,0.157,37,6.03
56748,2.6,9.884,0.158,27,7.632
36613,80.81,-4.708,-0.159,45,-7.084
149321,33.55,-1.482,0.157,45,7.968
28807,89.91,1.094,0.628,43,8.732
63213,25.79,1.22,0.157,35,7.946
57980,19.17,10.522,0.159,37,7.364
118823,139.17,-9.964,-2.042,28,-15.73
32647,38.3,2.006,0.156,44,6.453
31746,71.65,2.816,-0.156,45,-7.285
195033,76.55,0.171,-0.157,38,-7.826
128330,42.9,-8.231,-0.158,36,-7.302
111315,38.76,4.891,0.158,28,8.636
71752,100.47,-4.64,-0.628,44,-8.251
146661,26.29,1.311,0.156,30,8.633
152571,129.47,-1.254,-1.57,45,-11.254
29684,39.46,4.07,0.158,45,6.774
155382,102.9,1.379,-0.629,45,-8.255
97820,93,8.379,0.627,27,11.784
116729,43.5,-7.957,-0.157,45,-6.094
27270,60.69,-9.006,-0.157,35,-6.442
49291,74.23,0.775,-0.157,34,-8.926
54967,142.03,7.513,0.287,46,5.984
85140,18.9,10.739,0.156,44,7.204
10111,40.66,6.008,0.158,45,6.827
175747,157.28,-4.514,-2.984,45,-11.699
186955,65.8,-1.391,-0.159,44,-6.651
5079,92.19,0.912,0.629,45,8.594
53487,116.88,-5.609,-1.098,45,-10.59
50744,72.49,1.904,-0.157,37,-8.248
150259,37.09,2.234,0.157,30,8.319
35877,566.16,-12.472,-0.016,32,-7.028
174261,80.3,-3.694,-0.158,44,-6.865
74060,19.25,10.568,0.158,38,7.538
92110,68.84,1.14,-0.156,37,-7.545
719,59.65,-10.579,-0.156,37,-6.456
198487,81.97,-6.11,-0.157,44,-6.655
5287,192.39,4.685,0.031,32,7.453
149904,37.97,1.881,0.158,45,6.772
197172,80.37,-4.891,-0.158,37,-7.934
165683,36.96,1.06,0.158,36,7.293
26877,71.94,2.246,-0.156,35,-7.901
35336,66.98,-1.995,-0.158,30,-8.762
36501,64.54,-3.887,-0.156,34,-7.355
125632,135.06,6.224,1.996,35,13.846
49176,251.62,-0.388,-0.047,32,-7.753
4404,59.38,-10.99,-0.158,44,-6.465
149174,34.91,-1.607,0.157,44,6.847
90798,67.68,0.137,-0.157,46,-7.43
173584,2.72,9.029,0.156,34,6.602
53527,153.93,5.267,0.953,44,8.783
13556,37.27,1.858,0.159,38,7.691
28817,95.25,-9.838,-0.628,45,-7.503
163240,43.46,-8.333,-0.157,38,-6.525
188342,20.91,6.84,0.156,43,6.43
178993,81.22,-6.167,-0.158,33,-7.916
97465,77.14,-0.217,-0.157,34,-7.603
115388,22.37,6.008,0.158,35,7.886
194073,93.55,4.195,0.357,44,5.736
41835,5.31,12.05,0.156,38,5.912
179982,34.93,-1.539,0.156,45,6.908
6113,33.11,-1.71,0.158,36,7.972
167911,119.36,-4.56,-0.355,45,-6.582
96961,74.38,2.337,-0.157,45,-7.281
